;Forecast;DevF;DevNorm
2024-04-11 00:00:00+02:00;;;
2024-04-12 00:00:00+02:00;;;
2024-04-13 00:00:00+02:00;;;
2024-04-14 00:00:00+02:00;16169.60214;-79.2834078;5821.07622
2024-04-15 00:00:00+02:00;10601.35416;-807.2010895;335.2245645
2024-04-16 00:00:00+02:00;8109.183316;-1344.826461;-2077.177787
2024-04-17 00:00:00+02:00;5947.400412;-2804.207077;-4162.014229
2024-04-18 00:00:00+02:00;4484.287333;-2244.520499;-5551.197058
2024-04-19 00:00:00+02:00;7250.80741;-1529.768981;-2713.957128
2024-04-20 00:00:00+02:00;8051.076749;-2072.609932;-1846.372521
2024-04-21 00:00:00+02:00;7963.714729;-63.60535894;-1869.959404
2024-04-22 00:00:00+02:00;9389.95317;1152.168206;-383.3835585
2024-04-23 00:00:00+02:00;9113.207186;-299.8350133;-603.0552437
2024-04-24 00:00:00+02:00;7289.732127;-1942.920487;-2372.541089
2024-04-25 00:00:00+02:00;7322.909673;-2313.534136;-2288.281394
2024-04-26 00:00:00+02:00;7824.653345;-1809.035155;-1738.184614
2024-04-27 00:00:00+02:00;8456.35912;-1889.867293;-1060.676751
2024-04-28 00:00:00+02:00;7642.524843;;-1831.081939
2024-04-29 00:00:00+02:00;7885.935198;;-1546.437471
2024-04-30 00:00:00+02:00;;;
2024-05-01 00:00:00+02:00;;;
2024-05-02 00:00:00+02:00;;;
2024-05-03 00:00:00+02:00;;;
2024-05-04 00:00:00+02:00;;;
