,Holiday,Year,Month,Day,Hour,Minute,DofW,Weekend,Normal,Actual,Anomaly,Unit,area
0,0,2014,12,30,23,0,1,0,7266.817506325077,9251.571692819958,1984.7541864948807,GWh,fr
1,0,2014,12,31,23,0,2,0,7238.266776830798,9239.108569820655,2000.841792989857,GWh,fr
2,0,2015,1,1,23,0,3,0,7208.056056038509,9220.598981225934,2012.5429251874248,GWh,fr
3,0,2015,1,2,23,0,4,0,7176.168548274364,9194.84856857352,2018.6800202991553,GWh,fr
4,0,2015,1,3,23,0,5,1,7142.715448561248,9210.96946099575,2068.2540124345014,GWh,fr
5,0,2015,1,4,23,0,6,1,7107.714831541591,9198.55779882075,2090.842967279159,GWh,fr
6,0,2015,1,5,23,0,0,0,7071.226239449626,9137.419272658752,2066.193033209126,GWh,fr
7,0,2015,1,6,23,0,1,0,7033.287648089358,9067.376657861469,2034.0890097721103,GWh,fr
8,0,2015,1,7,23,0,2,0,6993.742337145594,9007.780576681022,2014.0382395354272,GWh,fr
9,0,2015,1,8,23,0,3,0,6952.484673855372,8946.645225429893,1994.1605515745205,GWh,fr
10,0,2015,1,9,23,0,4,0,6909.507869094864,8916.522719373963,2007.014850279099,GWh,fr
11,0,2015,1,10,23,0,5,1,6864.722728871743,8917.954796169452,2053.2320672977085,GWh,fr
12,0,2015,1,11,23,0,6,1,6818.11281623313,8908.951612891082,2090.838796657952,GWh,fr
13,0,2015,1,12,23,0,0,0,6769.69864338341,8887.261340754423,2117.562697371013,GWh,fr
14,0,2015,1,13,23,0,1,0,6719.490042813056,8878.214121577299,2158.724078764243,GWh,fr
15,0,2015,1,14,23,0,2,0,6667.583877739421,8856.511945307573,2188.928067568152,GWh,fr
16,0,2015,1,15,23,0,3,0,6614.150040602271,8832.943953611772,2218.793913009501,GWh,fr
17,0,2015,1,16,23,0,4,0,6559.352078453089,8824.49791857139,2265.1458401183,GWh,fr
18,0,2015,1,17,23,0,5,1,6503.2866017237575,8837.623169595792,2334.3365678720347,GWh,fr
19,0,2015,1,18,23,0,6,1,6446.068126982146,8791.321023100538,2345.2528961183916,GWh,fr
20,0,2015,1,19,23,0,0,0,6387.836084043666,8698.415135939385,2310.579051895719,GWh,fr
21,0,2015,1,20,23,0,1,0,6328.779333512215,8616.213244684273,2287.4339111720583,GWh,fr
22,0,2015,1,21,23,0,2,0,6269.008081604107,8525.838205487153,2256.8301238830454,GWh,fr
23,0,2015,1,22,23,0,3,0,6208.869445097519,8423.573203570491,2214.7037584729724,GWh,fr
24,0,2015,1,23,23,0,4,0,6148.748467286471,8346.42349232452,2197.675025038049,GWh,fr
25,0,2015,1,24,23,0,5,1,6088.765216809232,8293.35530852806,2204.5900917188283,GWh,fr
26,0,2015,1,25,23,0,6,1,6029.157334486031,8225.639766878152,2196.482432392121,GWh,fr
27,0,2015,1,26,23,0,0,0,5970.069775154209,8121.274883138384,2151.205107984175,GWh,fr
28,0,2015,1,27,23,0,1,0,5911.630046931307,8032.215835193497,2120.5857882621895,GWh,fr
29,0,2015,1,28,23,0,2,0,5853.926105864425,7954.042990617566,2100.1168847531408,GWh,fr
30,0,2015,1,29,23,0,3,0,5797.046411853786,7846.599162563467,2049.5527507096813,GWh,fr
31,0,2015,1,30,23,0,4,0,5740.944596865288,7764.672045473264,2023.727448607976,GWh,fr
32,0,2015,1,31,23,0,5,1,5685.539082996726,7728.889477107931,2043.3503941112049,GWh,fr
33,0,2015,2,1,23,0,6,1,5630.820567160139,7674.683121185449,2043.8625540253097,GWh,fr
34,0,2015,2,2,23,0,0,0,5576.689226258873,7590.361747217116,2013.6725209582437,GWh,fr
35,0,2015,2,3,23,0,1,0,5523.1979664127875,7509.045789790281,1985.8478233774931,GWh,fr
36,0,2015,2,4,23,0,2,0,5470.322650499936,7422.200420304297,1951.8777698043614,GWh,fr
37,0,2015,2,5,23,0,3,0,5417.866533617693,7328.030239376084,1910.1637057583912,GWh,fr
38,0,2015,2,6,23,0,4,0,5365.8481700983075,7251.566951145126,1885.7187810468185,GWh,fr
39,0,2015,2,7,23,0,5,1,5314.474092718388,7181.954042824821,1867.4799501064326,GWh,fr
40,0,2015,2,8,23,0,6,1,5263.794399039275,7075.848114461467,1812.053715422192,GWh,fr
41,0,2015,2,9,23,0,0,0,5213.805716566213,6922.986390544083,1709.1806739778704,GWh,fr
42,0,2015,2,10,23,0,1,0,5164.443618537983,6759.863887235926,1595.4202686979434,GWh,fr
43,0,2015,2,11,23,0,2,0,5115.674910933897,6604.567316351428,1488.8924054175313,GWh,fr
