;tt fr con ec00ens °c cet min15 f Avg 2018-01-01T00:00:00+01:00;year;month;day;hour;minute;day_of_week;is_weekend;is_holiday
0;8.279166667;2017;12;31;23;0;Sunday;TRUE;FALSE
1;8.016666667;2018;1;1;23;0;Monday;FALSE;TRUE
2;10.7625;2018;1;2;23;0;Tuesday;FALSE;FALSE
3;10.70416667;2018;1;3;23;0;Wednesday;FALSE;FALSE
4;9.391666667;2018;1;4;23;0;Thursday;FALSE;FALSE
5;6.391666667;2018;1;5;23;0;Friday;FALSE;FALSE
6;4.254166667;2018;1;6;23;0;Saturday;TRUE;FALSE
7;2.525;2018;1;7;23;0;Sunday;TRUE;FALSE
8;2.675;2018;1;8;23;0;Monday;FALSE;FALSE
9;4.1625;2018;1;9;23;0;Tuesday;FALSE;FALSE
10;3.975;2018;1;10;23;0;Wednesday;FALSE;FALSE
11;3.816666667;2018;1;11;23;0;Thursday;FALSE;FALSE
12;4.2875;2018;1;12;23;0;Friday;FALSE;FALSE
13;4.85;2018;1;13;23;0;Saturday;TRUE;FALSE
14;4.895833333;2018;1;14;23;0;Sunday;TRUE;FALSE
15;4.4;2018;1;15;23;0;Monday;FALSE;TRUE
