;year;month;day;hour;minute;day_of_week;is_weekend;is_holiday;Value
0;2017;12;31;23;0;Sunday;TRUE;FALSE;8.279166667
1;2018;1;1;23;0;Monday;FALSE;TRUE;8.016666667
2;2018;1;2;23;0;Tuesday;FALSE;FALSE;10.7625
3;2018;1;3;23;0;Wednesday;FALSE;FALSE;10.70416667
4;2018;1;4;23;0;Thursday;FALSE;FALSE;9.391666667
5;2018;1;5;23;0;Friday;FALSE;FALSE;6.391666667
6;2018;1;6;23;0;Saturday;TRUE;FALSE;4.254166667
7;2018;1;7;23;0;Sunday;TRUE;FALSE;2.525
8;2018;1;8;23;0;Monday;FALSE;FALSE;2.675
9;2018;1;9;23;0;Tuesday;FALSE;FALSE;4.1625
10;2018;1;10;23;0;Wednesday;FALSE;FALSE;3.975
11;2018;1;11;23;0;Thursday;FALSE;FALSE;3.816666667
12;2018;1;12;23;0;Friday;FALSE;FALSE;4.2875
13;2018;1;13;23;0;Saturday;TRUE;FALSE;4.85
14;2018;1;14;23;0;Sunday;TRUE;FALSE;4.895833333
15;2018;1;15;23;0;Monday;FALSE;TRUE;4.4
